,,,,,Construction_Field.yuv 3840x2160 (300 frames),,,,
Model,QP,Bitrate (kbps),YUV-PSNR (db),User time (s),System time (s),Real time (s),Total time (user+sys) (min),MS-SSIM,VMAF
HEVC,27,227577.856,41.1057,64m13.753s,0m6.564s,64m20.556s,64.33861667,0.995182,99.916409
HEVC,32,138681.124,38.5511,56m28.661s,0m5.749s,56m35.247s,56.5735,0.9894,94.263669
HEVC,37,83589.336,35.8447,53m43.158s, 0m11.037s,53m54.727s,53.90325,0.975966,82.386863
,,,,,Netflix_Narrator_4096x2160_60fps_8bit_420.yuv (120 frames),,,,
FasterViT,22,97597.8,47.6094,11m46.262s,0m17.929s, 10m1.378s,12.06985,0.996009,96.677747
FasterViT,27,48541.572,45.5828,9m25.078s,0m19.226s,7m38.415s,9.7384,0.992986,93.409498
FasterViT,32,27641.24,43.7195,8m35.754s,0m19.749s,6m51.436s,8.92505,0.988903,87.813007
FasterViT,37,16440.12,41.6796,9m18.114s,0m28.915s,7m43.882s,9.783816667,0.982013,78.180573
CNN,22,99236.316,47.5833,12m14.939s,0m36.031s,10m51.698s,12.8495,0.996021,96.656689
CNN,27,49456.26,45.5677,9m34.593s, 0m36.708s,8m6.695s,10.18835,0.992992,93.380503
CNN,32,28197.572,43.7051,8m26.142s, 0m36.133s,7m0.075s,9.037916667,0.988872,87.724992
CNN,37,16758.064,41.6555,9m35.851s,0m41.456s,7m7.499s,10.28845,0.981842,78.065967
HEVC,22,96628.68,47.6693, 57m24.882s,0m7.758s, 57m34.088s,57.544,0.996102,96.71308
HEVC,27,47726.488,45.6139, 49m51.476s,0m5.520s,49m57.162s,49.94993333,0.99305,93.47412
HEVC,32,26977.56,43.7604, 47m6.996s,0m6.279s,47m13.352s,47.22125,0.989005,87.909291
HEVC,37,15992.608,41.733,45m23.116s,0m5.656s, 45m29.107s,45.47953333,0.982216,78.340235
,,,,,Netflix_Tango_4096x2160_60fps_8bit_420.yuv (100 frames),,,,
FasterViT,22,156939.336,42.5744, 14m55.058s,0m36.268s,13m31.536s,15.5221,0.990899,99.629037
FasterViT,27,55545.696,41.3129, 8m16.707s,0m14.854s, 6m56.033s,8.526016667,0.984771,96.387844
FasterViT,32,31364.5056,40.4252,7m3.944s,0m15.430s,5m44.337s,7.3229,0.979511,90.302965
FasterViT,37,18613.1712,39.2438, 6m46.593s,0m15.506s,5m22.044s,7.034983333,0.970879,79.695457
CNN,22,158720.1888,42.5741, 15m19.684s,0m46.766s,14m22.187s,16.1075,0.990904,99.623518
CNN,27,56567.4768,41.3082, 8m9.080s,0m27.440s,7m6.723s,8.608666667,0.984756,96.379781
CNN,32,31970.8944,40.4143,7m2.139s,0m31.675s,5m57.686s,7.563566667,0.979458,90.227104
CNN,37,18997.8912,39.2251,6m25.966s,0m28.840s, 5m20.149s,6.913433333,0.970718,79.558754
HEVC,22,161356.6368,42.6474, 63m24.147s, 0m6.975s,63m31.250s,63.5187,0.991128,99.667844
HEVC,27,54388.848,41.327, 45m16.837s,0m5.909s, 45m22.860s,45.3791,0.984846,96.447588
HEVC,32,30435.1152,40.4467,40m47.015s, 0m6.474s,40m53.595s,40.89148333,0.979626,90.393971
HEVC,37,17973.1344,39.2811,39m14.743s,0m6.935s,39m22.885s,39.3613,0.971127,79.829564
